title,docid,link,relevance
Air-to-air missile,320568,https://en.wikipedia.org/wiki/?curid=320568,1
Syracuse University College of Law,3154365,https://en.wikipedia.org/wiki/?curid=3154365,1
Cutlet,2514849,https://en.wikipedia.org/wiki/?curid=2514849,1
KPIT Technologies,43208785,https://en.wikipedia.org/wiki/?curid=43208785,2
Hot foot powder,1455698,https://en.wikipedia.org/wiki/?curid=1455698,1
"Acton, Massachusetts",116829,https://en.wikipedia.org/wiki/?curid=116829,1
Continental AG,1604474,https://en.wikipedia.org/wiki/?curid=1604474,1
Detroit??indsor,7598140,https://en.wikipedia.org/wiki/?curid=7598140,2
Ford Motor Company,30433662,https://en.wikipedia.org/wiki/?curid=30433662,4
Nexteer Automotive,31018791,https://en.wikipedia.org/wiki/?curid=31018791,3
Fisher Body,1692082,https://en.wikipedia.org/wiki/?curid=1692082,3
Graduate assistant,4978332,https://en.wikipedia.org/wiki/?curid=4978332,1
Nunsploitation,3036190,https://en.wikipedia.org/wiki/?curid=3036190,1
"New Center, Detroit",2850544,https://en.wikipedia.org/wiki/?curid=2850544,3
Rockwell International,26367,https://en.wikipedia.org/wiki/?curid=26367,2
Memphis-style barbecue,36249896,https://en.wikipedia.org/wiki/?curid=36249896,1
Toyota Platz,1117295,https://en.wikipedia.org/wiki/?curid=1117295,1
Volvo,32412,https://en.wikipedia.org/wiki/?curid=32412,1
Windows IoT,8969589,https://en.wikipedia.org/wiki/?curid=8969589,1
Automotive industry in Brazil,23571535,https://en.wikipedia.org/wiki/?curid=23571535,1
Internet2,343251,https://en.wikipedia.org/wiki/?curid=343251,4
Computer-aided engineering,456729,https://en.wikipedia.org/wiki/?curid=456729,3
Aptiv,1710507,https://en.wikipedia.org/wiki/?curid=1710507,4
Arogyaswami Paulraj,9711238,https://en.wikipedia.org/wiki/?curid=9711238,1
OpenStreetMap,2955470,https://en.wikipedia.org/wiki/?curid=2955470,1
John Dingell,386146,https://en.wikipedia.org/wiki/?curid=386146,2
"Farmington Hills, Michigan",118331,https://en.wikipedia.org/wiki/?curid=118331,2
BorgWarner,2861845,https://en.wikipedia.org/wiki/?curid=2861845,4
Lal Singh,33401930,https://en.wikipedia.org/wiki/?curid=33401930,1
Samsung SDI,53595794,https://en.wikipedia.org/wiki/?curid=53595794,1
?ngel Cabrera,1961587,https://en.wikipedia.org/wiki/?curid=1961587,1
KLA Corporation,3168991,https://en.wikipedia.org/wiki/?curid=3168991,1
Linux Foundation,9055249,https://en.wikipedia.org/wiki/?curid=9055249,2
"WMG, University of Warwick",5361381,https://en.wikipedia.org/wiki/?curid=5361381,3
Burin Peninsula,4279973,https://en.wikipedia.org/wiki/?curid=4279973,1
Cephalopod,42726,https://en.wikipedia.org/wiki/?curid=42726,1
Metro Detroit,490908,https://en.wikipedia.org/wiki/?curid=490908,4
1964 race riots in Singapore,2702670,https://en.wikipedia.org/wiki/?curid=2702670,1
"Baker County, Oregon",92037,https://en.wikipedia.org/wiki/?curid=92037,1
The Rise and Fall of the Third Reich,385799,https://en.wikipedia.org/wiki/?curid=385799,1
Electromechanics,31322120,https://en.wikipedia.org/wiki/?curid=31322120,1
Bosch (company),231364,https://en.wikipedia.org/wiki/?curid=231364,3
Philip Humber's perfect game,35576309,https://en.wikipedia.org/wiki/?curid=35576309,1
Paul Haggis,1659870,https://en.wikipedia.org/wiki/?curid=1659870,1
"Pontiac, Michigan",118786,https://en.wikipedia.org/wiki/?curid=118786,3
Automotive Hall of Fame,1341940,https://en.wikipedia.org/wiki/?curid=1341940,3
Fishing industry in England,26209797,https://en.wikipedia.org/wiki/?curid=26209797,1
Jaguar Land Rover,18643465,https://en.wikipedia.org/wiki/?curid=18643465,2
Manufacturing in Japan,2864056,https://en.wikipedia.org/wiki/?curid=2864056,1
Automotive industry in India,4437504,https://en.wikipedia.org/wiki/?curid=4437504,1
