title,docid,link,relevance
Anthony Fokker,51808,https://en.wikipedia.org/wiki/?curid=51808,3
Dixie Mission,3342722,https://en.wikipedia.org/wiki/?curid=3342722,1
Deutschland-class cruiser,3010318,https://en.wikipedia.org/wiki/?curid=3010318,3
Nazi foreign policy debate,21282273,https://en.wikipedia.org/wiki/?curid=21282273,5
Independence of New Zealand,5472856,https://en.wikipedia.org/wiki/?curid=5472856,1
Louis XVIII,62114,https://en.wikipedia.org/wiki/?curid=62114,1
Organisation of the League of Nations,25524537,https://en.wikipedia.org/wiki/?curid=25524537,4
"Cherry Hill, New Jersey",25436099,https://en.wikipedia.org/wiki/?curid=25436099,1
Great feasts in the Eastern Orthodox Church,964791,https://en.wikipedia.org/wiki/?curid=964791,1
Chilliwack,328970,https://en.wikipedia.org/wiki/?curid=328970,1
Post??orld War I recession,1303606,https://en.wikipedia.org/wiki/?curid=1303606,4
Events preceding World War II in Europe,360435,https://en.wikipedia.org/wiki/?curid=360435,5
Japanese colonial empire,26458209,https://en.wikipedia.org/wiki/?curid=26458209,2
American Century,1240175,https://en.wikipedia.org/wiki/?curid=1240175,3
Steven Van Zandt,249731,https://en.wikipedia.org/wiki/?curid=249731,1
Uruguayan Air Force,1015521,https://en.wikipedia.org/wiki/?curid=1015521,1
Belgian Navy,4084788,https://en.wikipedia.org/wiki/?curid=4084788,2
Locarno Treaties,266937,https://en.wikipedia.org/wiki/?curid=266937,4
Paul Scholes,599983,https://en.wikipedia.org/wiki/?curid=599983,1
Junkers G.38,486124,https://en.wikipedia.org/wiki/?curid=486124,2
Alsace??orraine,206997,https://en.wikipedia.org/wiki/?curid=206997,3
Ferdinand Foch,331863,https://en.wikipedia.org/wiki/?curid=331863,4
Historiography of World War II,2805439,https://en.wikipedia.org/wiki/?curid=2805439,4
Peace of Paris (1783),15032869,https://en.wikipedia.org/wiki/?curid=15032869,1
"Richmond, British Columbia",172984,https://en.wikipedia.org/wiki/?curid=172984,1
Washington State Department of Transportation,1688720,https://en.wikipedia.org/wiki/?curid=1688720,1
Togoland,765924,https://en.wikipedia.org/wiki/?curid=765924,2
Australian occupation of German New Guinea,37426045,https://en.wikipedia.org/wiki/?curid=37426045,2
Presidents' Trophy,392975,https://en.wikipedia.org/wiki/?curid=392975,1
Chuvash language,753889,https://en.wikipedia.org/wiki/?curid=753889,1
Greater Poland uprising (1918??919),378834,https://en.wikipedia.org/wiki/?curid=378834,3
Origins of baseball,602676,https://en.wikipedia.org/wiki/?curid=602676,1
Sweden during World War I,42680097,https://en.wikipedia.org/wiki/?curid=42680097,2
Christian emigration,1822419,https://en.wikipedia.org/wiki/?curid=1822419,1
IBM System/390,53030665,https://en.wikipedia.org/wiki/?curid=53030665,1
Reichswehr,232499,https://en.wikipedia.org/wiki/?curid=232499,4
Aftermath of World War I,282291,https://en.wikipedia.org/wiki/?curid=282291,5
Nissen hut,501564,https://en.wikipedia.org/wiki/?curid=501564,1
Damien Hirst,293321,https://en.wikipedia.org/wiki/?curid=293321,1
Washington Naval Treaty,102231,https://en.wikipedia.org/wiki/?curid=102231,3
Territorial evolution of Germany,9895550,https://en.wikipedia.org/wiki/?curid=9895550,4
Seoul Capital Area,38492603,https://en.wikipedia.org/wiki/?curid=38492603,1
Louis XIV,18553,https://en.wikipedia.org/wiki/?curid=18553,1
Oberste Heeresleitung,1628858,https://en.wikipedia.org/wiki/?curid=1628858,3
Juice Newton,1069018,https://en.wikipedia.org/wiki/?curid=1069018,1
E. H. Carr,681691,https://en.wikipedia.org/wiki/?curid=681691,4
French assistance to Nguy?? ?nh,19740845,https://en.wikipedia.org/wiki/?curid=19740845,1
German??olish declaration of non-aggression,3901931,https://en.wikipedia.org/wiki/?curid=3901931,4
New Caledonia (Canada),1175638,https://en.wikipedia.org/wiki/?curid=1175638,1
Cathine,609980,https://en.wikipedia.org/wiki/?curid=609980,1
